roster_id,study_id,section,enrollment_status,synthetic_flag
R26-0001,ALG26-001,A,수강,1
R26-0002,ALG26-002,A,수강,1
R26-0003,ALG26-003,A,수강,1
R26-0004,ALG26-004,A,수강,1
R26-0005,ALG26-005,A,수강,1
R26-0006,ALG26-006,A,수강,1
R26-0007,ALG26-007,A,수강,1
R26-0008,ALG26-008,A,수강,1
R26-0009,ALG26-009,A,수강,1
R26-0010,ALG26-010,A,수강,1
R26-0011,ALG26-011,A,수강,1
R26-0012,ALG26-012,A,수강,1
R26-0013,ALG26-013,A,수강,1
R26-0014,ALG26-014,A,수강,1
R26-0015,ALG26-015,A,수강,1
R26-0016,ALG26-016,A,수강,1
R26-0017,ALG26-017,A,수강,1
R26-0018,ALG26-018,A,수강,1
R26-0019,ALG26-019,A,수강,1
R26-0020,ALG26-020,A,수강,1
R26-0021,ALG26-021,A,수강,1
R26-0022,ALG26-022,A,수강,1
R26-0023,ALG26-023,A,수강,1
R26-0024,ALG26-024,A,수강,1
R26-0025,ALG26-025,A,수강,1
R26-0026,ALG26-026,A,수강,1
R26-0027,ALG26-027,A,수강,1
R26-0028,ALG26-028,A,수강,1
R26-0029,ALG26-029,A,수강,1
R26-0030,ALG26-030,A,수강,1
R26-0031,ALG26-031,A,수강,1
R26-0032,ALG26-032,A,수강,1
R26-0033,ALG26-033,A,수강,1
R26-0034,ALG26-034,A,수강,1
R26-0035,ALG26-035,A,수강,1
R26-0036,ALG26-036,A,수강,1
R26-0037,ALG26-037,A,수강,1
R26-0038,ALG26-038,A,수강,1
R26-0039,ALG26-039,A,수강,1
R26-0040,ALG26-040,A,수강,1
R26-0041,ALG26-041,A,수강,1
R26-0042,ALG26-042,A,수강,1
R26-0043,ALG26-043,A,수강,1
R26-0044,ALG26-044,A,수강,1
R26-0045,ALG26-045,A,수강,1
R26-0046,ALG26-046,A,수강,1
R26-0047,ALG26-047,A,수강,1
R26-0048,ALG26-048,A,수강,1
R26-0049,ALG26-049,A,수강,1
R26-0050,ALG26-050,A,수강,1
R26-0051,ALG26-051,A,수강,1
R26-0052,ALG26-052,A,수강,1
R26-0053,ALG26-053,A,수강,1
R26-0054,ALG26-054,A,수강,1
R26-0055,ALG26-055,A,수강,1
R26-0056,ALG26-056,A,수강,1
R26-0057,ALG26-057,A,수강,1
R26-0058,ALG26-058,A,수강,1
R26-0059,ALG26-059,A,수강,1
R26-0060,ALG26-060,A,수강,1
R26-0061,ALG26-061,A,수강,1
R26-0062,ALG26-062,A,수강,1
R26-0063,ALG26-063,A,수강,1
R26-0064,ALG26-064,A,수강,1
R26-0065,ALG26-065,B,수강,1
R26-0066,ALG26-066,B,수강,1
R26-0067,ALG26-067,B,수강,1
R26-0068,ALG26-068,B,수강,1
R26-0069,ALG26-069,B,수강,1
R26-0070,ALG26-070,B,수강,1
R26-0071,ALG26-071,B,수강,1
R26-0072,ALG26-072,B,수강,1
