response_id,timestamp,entered_study_id,consent,duration_sec,LCU1_T1,LCU2_T1,LCU3_T1,LCU4_T1,LCU5_T1,LCU6_T1,SRL1_T1,SRL2_T1,SRL3_T1,SRL4_T1,SRL5_T1,SRL6_T1,synthetic_flag
T1R-0020,2026-04-27 09:49:55,ALG26-021,동의함,210,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,1
T1R-0161,2026-04-27 10:14:44,ALG26-165,동의함,254,보통이다,보통이다,보통이다,보통이다,그렇지 않다,그렇다,전혀 그렇지 않다,보통이다,전혀 그렇지 않다,그렇지 않다,보통이다,그렇다,1
T1R-0106,2026-04-27 10:47:33,ALG26-109,동의함,109,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇지 않다,보통이다,그렇지 않다,1
T1R-0090,2026-04-27 11:28:06,ALG26-093,동의함,234,보통이다,그렇지 않다,보통이다,그렇다,보통이다,보통이다,보통이다,전혀 그렇지 않다,그렇지 않다,그렇다,그렇지 않다,그렇지 않다,1
T1R-0083,2026-04-27 11:38:10,ALG26-086,동의함,78,그렇다,그렇다,그렇지 않다,그렇지 않다,그렇다,보통이다,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇지 않다,그렇지 않다,1
T1R-0131,2026-04-27 12:48:45,ALG26-135,동의함,87,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,1
T1R-0150,2026-04-27 13:10:44,ALG26-154,동의함,81,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇다,그렇지 않다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,그렇다,1
T1R-0015,2026-04-27 13:14:21,ALG26-016,동의함,160,보통이다,보통이다,보통이다,보통이다,그렇다,보통이다,매우 그렇다,보통이다,그렇다,매우 그렇다,그렇다,매우 그렇다,1
T1R-0162,2026-04-27 13:40:17,ALG26-166,동의함,163,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,1
T1R-0180,2026-04-27 14:00:09,ALG26-185,동의함,222,보통이다,그렇지 않다,보통이다,그렇다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,보통이다,보통이다,그렇다,1
