response_id,timestamp,entered_study_id,duration_sec,SRL1_T2,SRL2_T2,SRL3_T2,SRL4_T2,SRL5_T2,SRL6_T2,synthetic_flag
T2R-0148,2026-06-08 09:09:49,ALG26-161,214,그렇지 않다,보통이다,보통이다,그렇다,매우 그렇다,그렇지 않다,1
T2R-0139,2026-06-08 09:15:37,ALG26-152,123,그렇다,매우 그렇다,그렇다,보통이다,그렇다,보통이다,1
T2R-0054,2026-06-08 09:27:16,ALG26-059,172,그렇다,그렇다,그렇지 않다,보통이다,매우 그렇다,보통이다,1
T2R-0012,2026-06-08 10:08:17,ALG26-013,119,그렇다,보통이다,보통이다,매우 그렇다,보통이다,보통이다,1
T2R-0128,2026-06-08 10:35:19,ALG26-141,110,보통이다,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇다,1
T2R-0140,2026-06-08 11:58:18,ALG26-153,77,보통이다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,1
T2R-0033,2026-06-08 12:29:52,ALG26-037,116,보통이다,보통이다,보통이다,그렇다,그렇다,그렇다,1
T2R-0047,2026-06-08 12:53:47,ALG26-052,203,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,1
T2R-0105,2026-06-08 13:54:01,ALG26-115,42,보통이다,보통이다,매우 그렇다,보통이다,보통이다,그렇지 않다,1
T2R-0162,2026-06-08 14:02:28,ALG26-179,165,그렇지 않다,그렇다,그렇다,보통이다,보통이다,전혀 그렇지 않다,1
T2R-0136,2026-06-08 14:07:14,ALG26-149,56,매우 그렇다,보통이다,그렇다,보통이다,보통이다,보통이다,1
T2R-0165,2026-06-08 14:34:15,ALG26-182,207,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,1
T2R-0018,2026-06-08 14:57:41,ALG26-019,157,전혀 그렇지 않다,전혀 그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,1
T2R-0149,2026-06-08 16:12:58,ALG26-162,72,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,1
T2R-0121,2026-06-08 16:14:14,ALG26-134,100,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,1
T2R-0131,2026-06-08 16:20:26,ALG26-144,134,그렇다,보통이다,그렇다,그렇다,매우 그렇다,그렇지 않다,1
T2R-0030,2026-06-08 16:37:39,ALG26-033,52,그렇다,매우 그렇다,보통이다,보통이다,매우 그렇다,보통이다,1
T2R-0069,2026-06-08 16:46:07,ALG26-076,53,그렇지 않다,보통이다,그렇지 않다,그렇다,보통이다,그렇다,1
T2R-0096,2026-06-08 17:25:01,ALG26-104,159,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,1
T2R-0163,2026-06-08 18:03:21,ALG26-180,86,그렇다,그렇지 않다,보통이다,보통이다,그렇다,그렇지 않다,1
T2R-0077,2026-06-08 19:52:45,ALG26-085,71,보통이다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,1
T2R-0065,2026-06-08 20:07:11,ALG26-071,135,그렇지 않다,보통이다,그렇지 않다,보통이다,그렇지 않다,보통이다,1
T2R-0099,2026-06-08 20:23:59,ALG26-107,67,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,1
T2R-0064,2026-06-08 21:08:02,ALG26-070,108,그렇지 않다,그렇다,그렇다,보통이다,그렇다,그렇다,1
T2R-0014,2026-06-08 21:32:32,ALG26-015,94,그렇다,그렇지 않다,매우 그렇다,그렇다,그렇다,그렇다,1
T2R-0123,2026-06-08 21:57:33,ALG26-136,109,그렇지 않다,보통이다,보통이다,보통이다,그렇다,전혀 그렇지 않다,1
T2R-0086,2026-06-08 22:38:23,ALG26-094,84,그렇다,그렇지 않다,그렇다,그렇다,그렇다,매우 그렇다,1
T2R-0063,2026-06-08 22:45:46,ALG26-069,142,보통이다,보통이다,보통이다,보통이다,보통이다,그렇다,1
T2R-0006,2026-06-08 23:06:30,alg26-007,120,보통이다,그렇다,보통이다,보통이다,그렇다,그렇다,1
T2R-0041,2026-06-09 00:49:43,ALG26-046,209,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,1
T2R-0146,2026-06-09 00:57:56,ALG26-159,124,그렇다,보통이다,그렇지 않다,보통이다,전혀 그렇지 않다,보통이다,1
T2R-0155,2026-06-09 01:42:35,ALG26-169,58,그렇다,그렇지 않다,그렇지 않다,보통이다,그렇지 않다,그렇다,1
T2R-0134,2026-06-09 02:13:05,ALG26-147,134,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,1
T2R-0135,2026-06-09 02:28:17,ALG26-148,190,그렇다,보통이다,보통이다,그렇다,보통이다,그렇다,1
T2R-0071,2026-06-09 02:54:12,ALG26-079,97,보통이다,그렇지 않다,보통이다,그렇다,그렇다,보통이다,1
T2R-0127,2026-06-09 03:34:34,ALG26-140,65,그렇다,그렇지 않다,보통이다,그렇다,그렇지 않다,그렇지 않다,1
T2R-0048,2026-06-09 03:48:48,ALG26-053,360,그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,1
T2R-0114,2026-06-09 04:35:38,ALG26-126,92,보통이다,보통이다,그렇지 않다,그렇다,보통이다,그렇다,1
T2R-0166,2026-06-09 04:54:51,ALG26-183,86,매우 그렇다,그렇다,보통이다,그렇지 않다,그렇다,그렇다,1
T2R-0023,2026-06-09 06:48:56,ALG26-024,114,보통이다,보통이다,보통이다,그렇지 않다,그렇다,그렇지 않다,1
T2R-0095,2026-06-09 07:08:04,ALG26-103,63,그렇지 않다,그렇지 않다,그렇지 않다,보통이다,보통이다,그렇지 않다,1
T2R-0021,2026-06-09 07:35:22,ALG26-022,96,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,1
T2R-0055,2026-06-09 07:47:57,ALG26-060,71,보통이다,보통이다,보통이다,그렇다,전혀 그렇지 않다,그렇다,1
T2R-0151,2026-06-09 08:38:55,ALG26-165,87,그렇지 않다,보통이다,보통이다,보통이다,그렇지 않다,그렇지 않다,1
T2R-0160,2026-06-09 10:09:00,ALG26-177,80,그렇지 않다,그렇다,보통이다,보통이다,그렇다,보통이다,1
T2R-0044,2026-06-09 11:05:09,ALG26-049,100,그렇다,보통이다,매우 그렇다,그렇다,그렇다,보통이다,1
T2R-0141,2026-06-09 11:36:29,ALG26-154,111,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,1
T2R-0124,2026-06-09 13:23:32,ALG26-137,154,그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,1
