"study_id","t1_response_id","t1_timestamp","consent","t1_duration_sec","LCU1_T1","LCU2_T1","LCU3_T1","LCU4_T1","LCU5_T1","LCU6_T1","SRL1_T1","SRL2_T1","SRL3_T1","SRL4_T1","SRL5_T1","SRL6_T1","LCU_T1_mean","SRL_T1_mean","t2_response_id","t2_timestamp","t2_duration_sec","SRL1_T2","SRL2_T2","SRL3_T2","SRL4_T2","SRL5_T2","SRL6_T2","SRL_T2_mean","midterm_score","final_score","midterm_status","final_status","grade_note","synthetic_flag","enrollment_status","exam_valid","section","analysis_complete","exclusion_reason"
"ALG26-001","T1R-0001","2026-04-30 21:16:43","동의함",154,3,4,3,3,3,3,2,3,3,4,2,4,3.16666666666667,3,"T2R-0001","2026-06-11 22:05:03",98,3,2,3,4,3,4,3.16666666666667,66.5,66,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-002","T1R-0002","2026-04-28 08:39:45","동의함",126,3,3,4,4,2,5,2,3,4,1,3,2,3.5,2.5,"T2R-0002","2026-06-10 01:21:26",81,3,4,4,4,4,3,3.66666666666667,54,62.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-004","T1R-0003","2026-05-01 03:16:18","동의함",187,4,5,4,4,4,4,5,3,2,3,3,3,4.16666666666667,3.16666666666667,"T2R-0003","2026-06-11 18:40:43",126,4,3,2,3,3,3,3,62.5,79.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-005","T1R-0004","2026-04-27 23:10:45","동의함",127,2,4,3,3,3,2,5,5,4,4,4,5,2.83333333333333,4.5,"T2R-0004","2026-06-09 16:52:25",174,2,4,3,3,2,4,3,71,75.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-006","T1R-0005","2026-04-29 21:28:57","동의함",38,1,3,2,3,2,2,2,3,2,2,3,2,2.16666666666667,2.33333333333333,"T2R-0005","2026-06-12 02:49:50",44,4,3,5,4,4,3,3.83333333333333,54,58.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-007","T1R-0006","2026-05-01 02:43:13","동의함",44,4,3,3,4,5,4,4,3,3,4,5,5,3.83333333333333,4,"T2R-0006","2026-06-08 23:06:30",120,3,4,3,3,4,4,3.5,63.5,72.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-008","T1R-0007","2026-04-30 05:44:12","동의함",211,4,4,4,4,3,5,4,3,3,3,3,5,4,3.5,"T2R-0007","2026-06-11 04:32:10",26,2,3,3,1,2,2,2.16666666666667,73,75.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-009","T1R-0008","2026-04-30 14:16:19","동의함",297,3,3,2,2,3,2,4,3,3,4,2,3,2.5,3.16666666666667,"T2R-0008","2026-06-12 08:18:19",53,2,2,4,3,1,2,2.33333333333333,61,57.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-010","T1R-0009","2026-04-28 08:55:41","동의함",171,3,4,4,4,4,4,4,4,3,4,4,3,3.83333333333333,3.66666666666667,"T2R-0009","2026-06-10 12:46:51",133,3,2,3,4,3,2,2.83333333333333,55.5,51.5,"응시","응시",,1,"수강",TRUE,"A",1,
"ALG26-011","T1R-0010","2026-04-28 07:07:05","동의함",224,3,4,4,4,3,4,5,4,3,3,2,3,3.66666666666667,3.33333333333333,"T2R-0010","2026-06-12 07:15:17",77,3,2,4,3,1,4,2.83333333333333,58.5,50,"응시","응시",,1,"수강",TRUE,"A",1,
