"variable_1","variable_2","r","ci_low","ci_high","p_value","n"
"LCU_T1_mean","SRL_T1_mean",0.323115296078584,0.177777217887761,0.454658350353524,2.7432718982824e-05,162
"LCU_T1_mean","SRL_T2_mean",0.450868538662339,0.31883939634953,0.565733162166304,1.73603846444714e-09,162
"LCU_T1_mean","midterm_score",0.147545390408033,-0.00680488294758453,0.295028699587015,0.0609756052224845,162
"LCU_T1_mean","final_score",0.24307736078807,0.0923430533553369,0.38292041474692,0.00182827919884135,162
"SRL_T1_mean","SRL_T2_mean",0.580413812112014,0.468113159835694,0.674264502089352,5.72395488896759e-16,162
"SRL_T1_mean","midterm_score",0.250634596809759,0.100316025124886,0.389766844839642,0.00129602330718272,162
"SRL_T1_mean","final_score",0.411206500256845,0.27441035432285,0.531689556322787,5.45907160270472e-08,162
"SRL_T2_mean","midterm_score",0.177767725636916,0.0242366183638515,0.323106517391677,0.0236264645289148,162
"SRL_T2_mean","final_score",0.380082920501497,0.239950241977787,0.504699427746678,6.07822123773097e-07,162
"midterm_score","final_score",0.645963518172762,0.546169031072307,0.727678791038813,1.670258671493e-20,162
