"study_id","section","LCU1_T1","LCU2_T1","LCU3_T1","LCU4_T1","LCU5_T1","LCU6_T1","SRL1_T1","SRL2_T1","SRL3_T1","SRL4_T1","SRL5_T1","SRL6_T1","SRL1_T2","SRL2_T2","SRL3_T2","SRL4_T2","SRL5_T2","SRL6_T2","LCU_T1_mean","SRL_T1_mean","SRL_T2_mean","midterm_score","final_score","synthetic_flag"
"ALG26-001","A",3,4,3,3,3,3,2,3,3,4,2,4,3,2,3,4,3,4,3.16666666666667,3,3.16666666666667,66.5,66,1
"ALG26-002","A",3,3,4,4,2,5,2,3,4,1,3,2,3,4,4,4,4,3,3.5,2.5,3.66666666666667,54,62.5,1
"ALG26-004","A",4,5,4,4,4,4,5,3,2,3,3,3,4,3,2,3,3,3,4.16666666666667,3.16666666666667,3,62.5,79.5,1
"ALG26-005","A",2,4,3,3,3,2,5,5,4,4,4,5,2,4,3,3,2,4,2.83333333333333,4.5,3,71,75.5,1
"ALG26-006","A",1,3,2,3,2,2,2,3,2,2,3,2,4,3,5,4,4,3,2.16666666666667,2.33333333333333,3.83333333333333,54,58.5,1
"ALG26-007","A",4,3,3,4,5,4,4,3,3,4,5,5,3,4,3,3,4,4,3.83333333333333,4,3.5,63.5,72.5,1
"ALG26-008","A",4,4,4,4,3,5,4,3,3,3,3,5,2,3,3,1,2,2,4,3.5,2.16666666666667,73,75.5,1
"ALG26-009","A",3,3,2,2,3,2,4,3,3,4,2,3,2,2,4,3,1,2,2.5,3.16666666666667,2.33333333333333,61,57.5,1
"ALG26-010","A",3,4,4,4,4,4,4,4,3,4,4,3,3,2,3,4,3,2,3.83333333333333,3.66666666666667,2.83333333333333,55.5,51.5,1
"ALG26-011","A",3,4,4,4,3,4,5,4,3,3,2,3,3,2,4,3,1,4,3.66666666666667,3.33333333333333,2.83333333333333,58.5,50,1
"ALG26-012","A",2,2,3,3,2,3,4,4,2,3,4,3,2,4,2,3,3,3,2.5,3.33333333333333,2.83333333333333,54.5,65.5,1
"ALG26-013","A",4,4,4,4,4,4,3,2,4,3,3,5,4,3,3,5,3,3,4,3.33333333333333,3.5,54,69.5,1
"ALG26-014","A",4,3,3,3,3,4,4,3,3,5,4,3,3,3,3,3,5,4,3.33333333333333,3.66666666666667,3.5,80,86,1
"ALG26-015","A",4,3,3,3,3,4,5,5,5,4,5,5,4,2,5,4,4,4,3.33333333333333,4.83333333333333,3.83333333333333,73.5,77.5,1
"ALG26-016","A",3,3,3,3,4,3,5,3,4,5,4,5,4,4,4,4,2,4,3.16666666666667,4.33333333333333,3.66666666666667,71.5,95,1
"ALG26-017","A",3,5,2,4,3,3,2,3,2,2,3,1,3,4,3,4,4,4,3.33333333333333,2.16666666666667,3.66666666666667,72,59,1
"ALG26-018","A",5,4,4,4,4,5,3,2,2,4,3,3,5,4,5,2,4,4,4.33333333333333,2.83333333333333,4,90.5,72.5,1
"ALG26-019","A",3,2,2,2,3,3,3,3,3,3,4,4,1,1,2,2,2,1,2.5,3.33333333333333,1.5,62,47.5,1
"ALG26-020","A",4,4,4,4,4,4,4,3,4,5,4,5,5,4,4,5,4,5,4,4.16666666666667,4.5,77,64.5,1
"ALG26-022","A",4,5,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,5,4.33333333333333,4.83333333333333,4.66666666666667,67,88,1
"ALG26-023","A",5,5,5,5,5,4,4,4,4,5,4,5,4,5,4,4,5,3,4.83333333333333,4.33333333333333,4.16666666666667,60.5,74.5,1
"ALG26-024","A",5,3,3,4,3,3,2,3,1,3,3,3,3,3,3,2,4,2,3.5,2.5,2.83333333333333,55.5,68.5,1
"ALG26-025","A",4,4,3,5,4,5,3,4,5,4,4,4,4,4,4,4,3,4,4.16666666666667,4,3.83333333333333,57.5,74,1
"ALG26-027","A",5,4,5,5,4,5,3,3,4,2,4,3,3,5,3,4,5,4,4.66666666666667,3.16666666666667,4,66,73.5,1
"ALG26-029","A",4,3,5,4,4,4,5,4,3,3,4,5,3,3,3,4,4,3,4,4,3.33333333333333,68.5,81,1
"ALG26-031","A",3,2,2,2,3,3,3,4,4,4,4,5,3,3,3,2,4,3,2.5,4,3,84.5,92,1
"ALG26-032","A",3,3,3,2,3,3,5,4,5,5,5,3,5,4,4,4,5,5,2.83333333333333,4.5,4.5,84,98.5,1
"ALG26-033","A",5,3,4,3,4,4,4,5,3,4,4,5,4,5,3,3,5,3,3.83333333333333,4.16666666666667,3.83333333333333,85.5,88.5,1
"ALG26-034","A",4,3,4,4,4,4,2,5,3,4,5,2,3,4,3,3,3,3,3.83333333333333,3.5,3.16666666666667,67,74.5,1
"ALG26-035","A",2,3,3,2,3,3,4,3,4,4,2,3,4,3,3,3,3,4,2.66666666666667,3.33333333333333,3.33333333333333,77.5,88.5,1
"ALG26-037","A",3,3,4,4,4,5,4,5,3,4,4,3,3,3,3,4,4,4,3.83333333333333,3.83333333333333,3.5,76,52,1
"ALG26-038","A",3,4,3,5,3,4,2,1,3,3,3,3,3,3,2,2,4,3,3.66666666666667,2.5,2.83333333333333,98,89,1
"ALG26-039","A",3,2,2,3,2,2,2,3,3,3,2,1,3,3,2,3,3,3,2.33333333333333,2.33333333333333,2.83333333333333,44.5,63.5,1
"ALG26-040","A",2,3,3,3,3,4,4,4,3,3,5,5,3,4,4,3,3,4,3,4,3.5,71.5,68,1
"ALG26-041","A",3,4,4,3,4,4,4,3,3,5,4,4,4,4,4,5,5,4,3.66666666666667,3.83333333333333,4.33333333333333,91,88.5,1
"ALG26-042","A",4,5,5,4,5,5,3,2,3,3,3,3,3,4,4,4,3,4,4.66666666666667,2.83333333333333,3.66666666666667,77.5,87,1
"ALG26-043","A",2,3,2,3,2,3,2,2,2,3,4,3,2,3,3,3,3,4,2.5,2.66666666666667,3,62,58.5,1
"ALG26-044","A",3,3,3,4,4,3,5,5,4,4,4,5,2,3,4,4,3,5,3.33333333333333,4.5,3.5,86,89,1
"ALG26-046","A",3,3,5,2,3,4,5,3,4,4,2,4,4,5,5,5,5,5,3.33333333333333,3.66666666666667,4.83333333333333,66.5,77,1
"ALG26-047","A",3,4,4,4,3,3,5,4,4,3,3,5,3,4,4,3,3,4,3.5,4,3.5,91,100,1
"ALG26-048","A",4,4,3,3,5,4,2,1,3,3,3,3,4,3,4,4,2,4,3.83333333333333,2.5,3.5,59,62.5,1
"ALG26-049","A",3,4,3,3,4,3,5,4,4,4,3,3,4,3,5,4,4,3,3.33333333333333,3.83333333333333,3.83333333333333,60,67.5,1
"ALG26-050","A",2,2,1,2,2,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2.16666666666667,2.5,73.5,75.5,1
"ALG26-051","A",3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3.66666666666667,4,3.66666666666667,73,77,1
"ALG26-052","A",3,3,4,4,3,4,4,3,4,3,4,4,5,4,4,4,4,4,3.5,3.66666666666667,4.16666666666667,67.5,85,1
"ALG26-053","A",4,3,2,3,3,3,2,3,3,3,2,3,4,4,4,3,3,4,3,2.66666666666667,3.66666666666667,80.5,74.5,1
"ALG26-054","A",4,4,4,5,4,5,4,2,4,4,3,3,2,3,3,4,5,3,4.33333333333333,3.33333333333333,3.33333333333333,77,60,1
"ALG26-055","A",5,4,3,5,5,4,2,2,2,4,4,3,3,3,3,2,4,3,4.33333333333333,2.83333333333333,3,62.5,68,1
"ALG26-056","A",5,5,5,4,4,4,4,5,5,4,5,5,5,4,4,4,5,5,4.5,4.66666666666667,4.5,85.5,90.5,1
"ALG26-057","A",4,3,2,4,4,4,4,3,4,4,4,3,5,5,3,3,3,4,3.5,3.66666666666667,3.83333333333333,98,100,1
"ALG26-058","A",3,4,2,3,3,2,3,3,4,2,4,4,5,4,5,1,4,3,2.83333333333333,3.33333333333333,3.66666666666667,64.5,72,1
"ALG26-059","A",4,3,3,1,4,3,3,5,4,3,4,3,4,4,2,3,5,3,3,3.66666666666667,3.5,89,99.5,1
"ALG26-060","A",4,3,3,3,3,3,3,4,2,4,4,3,3,3,3,4,1,4,3.16666666666667,3.33333333333333,3,72.5,67,1
"ALG26-061","A",4,2,3,3,4,4,3,1,2,3,4,2,3,2,2,3,3,3,3.33333333333333,2.5,2.66666666666667,62,58.5,1
"ALG26-062","A",3,4,3,4,3,2,3,3,3,2,3,4,4,3,4,4,4,3,3.16666666666667,3,3.66666666666667,43,64.5,1
"ALG26-063","A",4,4,4,4,3,4,2,2,3,2,3,1,2,4,1,2,3,3,3.83333333333333,2.16666666666667,2.5,40,65,1
"ALG26-064","A",4,3,4,3,3,3,3,2,2,3,1,3,3,3,2,4,4,4,3.33333333333333,2.33333333333333,3.33333333333333,98,84,1
"ALG26-065","B",3,3,3,3,3,4,2,4,3,5,4,4,4,5,4,4,3,4,3.16666666666667,3.66666666666667,4,93,86.5,1
"ALG26-066","B",3,4,4,3,4,4,2,4,4,4,4,3,4,3,4,5,4,5,3.66666666666667,3.5,4.16666666666667,73,68.5,1
"ALG26-067","B",3,3,3,3,2,3,3,5,4,4,4,4,3,2,4,3,3,3,2.83333333333333,4,3,82.5,86,1
"ALG26-069","B",2,1,1,3,2,3,3,3,4,3,4,2,3,3,3,3,3,4,2,3.16666666666667,3.16666666666667,83,75,1
"ALG26-070","B",5,5,4,3,4,4,2,5,3,4,3,4,2,4,4,3,4,4,4.16666666666667,3.5,3.5,80,74,1
